category,message,age,years_of_experience,monthly_income,distance_traveled,risk_zone,gender,education_level,vehicle_type,number_of_children,marital_status,average_hours_worked_per_week,customer_rating,number_of_trips_last_month,average_trip_duration,region
operaciones,Example six worker whatever group sure. Expect before experience western strategy.,40,18,4517,8249,alta,male,master,sedan,4,widowed,55,4.7,77,20,south
finanzas,Participant study base institution people mind. Ahead continue speak may word reality we. House carry election sister mission senior hundred. Hold still without hair.,37,19,1938,917,media,female,phd,van,5,widowed,52,3.6,76,51,south
finanzas,My reality majority physical radio effort series help. So fine goal real. Goal nor day back hair behind.,32,3,4925,4203,media,female,master,sedan,2,single,45,4.7,33,102,north
finanzas,Agent leader modern fine itself great.,37,2,2441,7031,media,male,phd,motorcycle,1,divorced,54,3.7,99,48,east
finanzas,Reflect that our daughter he scene head. Practice federal family current.,38,15,1895,3450,alta,female,master,van,4,married,53,4.5,56,119,south
operaciones,Crime term public where official five. Red teach picture parent upon wind adult.,20,1,1568,4547,baja,male,phd,sedan,4,single,54,3.5,51,24,north
operaciones,Republican professor similar can police drive bank know. Rather next evidence according try fall. No party check trade full.,48,6,2140,9201,media,female,master,motorcycle,4,married,21,4.0,43,17,north
operaciones,Letter happen professional field eat travel case. Security memory language participant condition.,44,8,4051,6554,baja,male,bachelor,sedan,2,divorced,25,4.3,32,77,west
recursos_humanos,Camera remain kid western east rise feel ability. During plant commercial shake customer per. Leave check call establish live always behind.,57,12,2213,8898,baja,male,high_school,motorcycle,4,divorced,37,3.6,76,23,east
recursos_humanos,Such father rather position within. Condition about above method skin else. Remember or daughter similar expert so.,57,20,1315,3358,baja,female,high_school,motorcycle,2,divorced,45,3.9,36,86,west
operaciones,Guess next pull several experience significant against. Pattern herself must argue. Will run create fear wish give.,36,2,3326,2506,baja,male,high_school,van,1,widowed,37,4.0,32,71,north
operaciones,Important card could air should. Indeed kid manage still. Agent much score move ability could hand. Down southern firm wait wonder heart station.,44,11,3940,4209,baja,male,phd,suv,5,single,48,3.4,37,37,north
finanzas,Since politics cup time wind must walk large. Picture fish sound standard. Candidate fund age special.,58,12,2231,8097,baja,female,phd,van,0,married,27,4.8,58,49,south
recursos_humanos,Start daughter structure look dinner condition these goal. Whose total case significant pull establish.,30,5,4915,7597,baja,male,high_school,sedan,0,widowed,48,4.8,69,78,east
operaciones,Herself make possible woman ok or. Industry final edge pass common total father. Half finally degree prepare player morning.,30,10,4309,2818,alta,female,master,motorcycle,0,married,60,4.0,32,120,north
finanzas,Today open nothing east age. Team catch third.,33,15,3402,3523,alta,female,bachelor,van,5,single,57,4.2,77,98,south
recursos_humanos,Culture nearly listen. Art buy feel section.,44,4,2746,2668,baja,male,phd,van,0,single,31,4.2,59,111,north
recursos_humanos,Cultural industry southern though whole example public. Drive staff beyond fish detail operation trouble. Beat glass never success manage.,40,10,3031,3664,baja,female,phd,van,1,widowed,26,3.2,20,89,west
recursos_humanos,Audience fly campaign million respond. Hear somebody although ball. Attorney social three follow hold plant the visit.,36,7,1394,4514,alta,male,high_school,sedan,3,single,20,3.0,47,119,south
operaciones,Over heavy she few. Any finally light story.,42,17,2217,3447,baja,male,bachelor,motorcycle,2,single,24,3.1,74,112,south
finanzas,Different down at less.,32,1,1870,9854,alta,male,phd,suv,4,widowed,30,3.6,21,52,west
recursos_humanos,Deal add as hope peace fine pattern. Change available fight view blood field option between. General card sea health north network choose behind.,58,10,4241,5162,media,female,phd,van,1,single,45,3.7,65,29,north
operaciones,Current marriage prevent sign including again. It century Congress. Easy audience most drug.,56,4,3736,5692,alta,female,phd,sedan,2,divorced,52,3.7,54,52,north
operaciones,Fund response for describe. Music certain specific decision tough price father trouble. Radio take write build tonight.,22,4,1474,7954,media,female,high_school,suv,2,single,23,4.7,96,28,north
recursos_humanos,Especially say two. Purpose person including part financial successful.,51,20,4021,9700,media,male,high_school,suv,4,single,58,3.2,36,77,north
operaciones,Security responsibility sense live stay left. Rather call movement he where eat.,39,8,2030,7603,alta,male,master,motorcycle,4,single,52,3.9,16,17,south
operaciones,Allow school if it. Matter happen southern property.,47,19,2135,8122,alta,male,bachelor,motorcycle,4,divorced,24,4.3,10,85,north
finanzas,Concern dream still moment. Learn discussion today life. Pressure risk understand.,45,19,2251,2136,baja,male,bachelor,sedan,2,widowed,23,4.0,13,26,east
operaciones,Hard hand any project moment important. For score difference admit democratic form responsibility. Day easy price happen.,23,3,4439,7392,media,male,phd,van,3,single,37,3.7,62,54,north
recursos_humanos,Threat bill drop arm reach short nation food. Three town personal office woman weight. Main feeling successful quickly.,20,2,3704,9476,media,female,bachelor,sedan,2,widowed,54,4.6,67,62,north
operaciones,Church which sell police teach class national. Left amount present memory live capital simple. Several side occur trial.,21,2,2667,2579,baja,female,high_school,van,1,single,25,4.3,23,43,south
recursos_humanos,Nature why past successful talk nature dream image. Customer source mission such.,25,6,2543,6800,baja,female,bachelor,van,0,widowed,60,3.2,36,41,east
finanzas,Sing drop measure generation. Total story local Democrat would. Carry that exactly boy agree.,30,2,1898,8544,alta,female,high_school,motorcycle,2,widowed,32,3.5,84,40,south
operaciones,Visit source gun table. Shake make reality Republican.,21,1,2899,1404,baja,female,high_school,van,4,married,54,4.1,58,46,west
operaciones,Lay media themselves instead hospital because. Describe speak water include itself travel condition.,28,1,1596,2120,baja,male,phd,motorcycle,3,divorced,30,3.2,39,70,north
finanzas,Store country kitchen building Congress career. Consumer coach treatment of should avoid customer. Dream away look low. Close center five degree.,35,12,2871,7059,media,female,phd,motorcycle,0,divorced,29,4.6,18,26,south
recursos_humanos,Camera level near ball. Low away carry simply example. Record pressure day account ball.,25,1,1346,6644,alta,female,high_school,sedan,2,single,49,5.0,76,81,north
operaciones,Record foreign region lose him. Future night prevent prevent. Against child force power sound.,35,6,1502,5544,alta,male,high_school,suv,2,widowed,35,3.6,19,104,west
recursos_humanos,Pull ask think. Dinner meeting girl about experience since. Miss good be produce movie develop whose.,41,20,4088,9850,alta,female,master,motorcycle,0,single,37,3.4,38,113,south
finanzas,Father despite language nearly. Room leader question know total maintain. Yes far material.,40,1,3240,9044,media,male,phd,sedan,3,married,29,3.3,50,60,north
recursos_humanos,Late near message she only stage. Traditional statement order.,50,17,2200,8272,media,male,bachelor,suv,0,single,45,4.1,68,40,south
operaciones,Recently local real. Police skill hard bed network carry real.,30,5,2834,3310,baja,male,bachelor,suv,2,divorced,33,4.7,68,28,north
finanzas,Body me break center cause other. Marriage meet series free.,21,1,1027,2408,baja,male,master,van,0,married,21,3.8,11,31,north
recursos_humanos,Age place sure knowledge particular blood. This course heavy some machine rather. Song rich still meet.,41,6,4308,5904,media,male,high_school,motorcycle,0,widowed,31,3.3,30,47,east
recursos_humanos,Whole north end establish. About room democratic crime art color edge. Anyone close act those human do training line.,38,4,4724,3876,baja,male,high_school,suv,5,married,54,3.9,41,38,south
finanzas,Thank race itself general carry father enough allow. Name last fine city care song.,43,13,1465,7473,baja,female,bachelor,van,3,divorced,46,3.5,36,73,south
operaciones,Another day clearly look.,31,11,4079,3386,baja,female,master,motorcycle,0,single,37,3.4,73,83,north
finanzas,Majority make carry civil.,49,6,1621,373,media,female,high_school,suv,2,divorced,47,4.3,78,65,west
operaciones,Girl new become catch analysis. President movie alone consumer.,35,14,1690,6734,media,female,bachelor,van,5,single,54,3.8,41,28,south
finanzas,Democratic grow whom general. Step because outside before century move still. Foot but who blue remain.,20,1,4027,6101,baja,female,high_school,motorcycle,0,married,22,4.9,34,46,west
recursos_humanos,Every idea tree analysis recently lose general. Modern new purpose while happen design. Democratic same deep ever vote arm.,58,15,4008,4746,baja,male,phd,motorcycle,0,married,47,4.4,12,35,west
finanzas,Within set step level that there. Though industry production order care.,46,14,1089,6553,media,female,master,sedan,4,widowed,52,4.7,77,21,west
operaciones,Throw fall whom finally ask. President under might decide.,46,20,1691,4895,baja,female,phd,van,2,widowed,40,3.9,51,13,north
operaciones,Concern else strong response fly phone. Road media help. Season return defense finally material talk would.,42,13,3129,432,media,female,master,sedan,5,married,28,4.4,63,31,north
operaciones,Former final model after remember marriage test trip. Air particularly enough majority soon century. Admit star defense sing something.,59,12,1660,4944,alta,male,bachelor,sedan,2,divorced,45,3.3,99,16,north
finanzas,Test when traditional traditional partner thousand. Four door hand these interview.,40,6,2786,1479,media,male,high_school,suv,0,widowed,24,4.4,82,58,east
recursos_humanos,Enter pull better field if. Couple few government however least general gas.,27,1,4082,6272,media,female,master,motorcycle,3,widowed,27,4.4,99,84,west
recursos_humanos,Our agency health response. People bank college during wall before author toward. Start range along easy character choice.,53,1,1619,5061,baja,female,high_school,motorcycle,1,single,51,4.0,69,41,north
operaciones,Result only cultural boy. Partner night open feeling thousand. Hope appear expert.,31,8,1929,154,baja,male,high_school,suv,1,single,31,3.1,79,91,south
finanzas,Rest safe go account unit reveal. Key improve network should picture open. Pass cold meet together.,49,5,1905,3526,media,female,high_school,suv,1,married,40,3.8,22,53,south
finanzas,Contain I door group series. Heart relationship add.,30,11,2628,6264,alta,male,bachelor,van,2,married,56,3.4,94,115,west
recursos_humanos,Grow learn somebody ago two. Type court cover personal. Research community movie usually.,28,6,4564,4426,baja,female,high_school,suv,3,widowed,20,3.2,97,86,west
operaciones,Blood design call college participant stage me. Find car blood contain writer American.,39,15,4466,1668,baja,male,master,van,1,divorced,47,4.8,50,65,east
operaciones,Drop American peace level story lose business. Soon else activity pattern reality teach. Turn article arm stand system physical.,59,20,3502,4748,media,male,master,sedan,2,single,50,3.5,13,41,south
recursos_humanos,Professional early store media vote air. Write allow most more.,51,9,4414,6250,baja,female,bachelor,sedan,5,divorced,43,4.8,58,109,south
operaciones,Simple power morning on want international. Account west chair here not. Fine kind future onto start contain.,59,2,4490,1078,baja,female,phd,sedan,2,widowed,57,3.1,62,55,south
finanzas,Capital prevent five door. Best standard summer artist recently key bill.,50,11,2075,597,baja,female,high_school,sedan,1,married,44,3.3,74,87,south
finanzas,Serious eat instead every. Toward rather soldier day picture. Policy former enter. Nothing same according light account consumer.,51,16,1456,5681,media,female,master,sedan,4,widowed,31,4.8,87,74,west
operaciones,Record no long. Store campaign finally film particular against. Government perform carry important environment season could he.,42,12,1984,132,baja,female,master,motorcycle,1,divorced,23,3.5,99,64,west
recursos_humanos,Before half involve once maybe fund. Culture nice know start be wind speak.,52,20,3565,2820,media,female,master,motorcycle,2,single,56,3.4,93,74,west
recursos_humanos,War research nation seven. Responsibility leg religious seek ahead. Management actually every civil.,44,10,2306,3752,baja,male,high_school,motorcycle,1,widowed,43,4.4,81,48,south
recursos_humanos,Recently size money add data hair gun. Piece article how first physical sell throughout. Threat program draw.,25,2,1025,6815,media,female,master,sedan,3,single,37,3.5,36,101,south
recursos_humanos,Evening make light me rate. Task also actually word maintain stand help.,31,3,1359,5874,alta,male,bachelor,motorcycle,1,widowed,29,4.6,39,85,east
recursos_humanos,Personal environment teacher step involve. Create join guess card attention.,32,13,3234,5444,alta,female,master,suv,4,divorced,42,3.6,93,103,south
finanzas,Morning something future technology election paper. Must sea state picture great.,25,2,1162,6845,baja,male,master,motorcycle,1,widowed,31,4.1,41,10,west
finanzas,Cost better everything site prepare follow. Score sing ask learn skin. Medical talk along mother watch.,30,3,3139,132,media,female,high_school,suv,2,divorced,46,3.3,40,70,south
operaciones,Kid energy wife forget customer yes pull black. Movement later goal least city.,36,6,4444,8682,alta,male,master,motorcycle,0,married,57,3.9,50,14,north
operaciones,Stay never them free. Throw laugh clearly hundred seek college leg against. When recent ground still worker arm.,46,5,1014,6182,alta,female,phd,motorcycle,5,single,50,3.8,26,114,west
operaciones,Enough determine quality pattern machine.,25,3,1328,2388,alta,male,high_school,motorcycle,3,widowed,27,3.6,18,16,north
finanzas,Present finally performance indeed rise. Only myself cold.,39,1,1430,5844,baja,female,bachelor,suv,4,divorced,47,3.3,28,61,south
operaciones,Capital rich seek course drive open. Professional watch poor move toward. With capital color already.,49,12,1753,4075,baja,male,master,van,0,single,26,4.2,82,55,east
operaciones,Heart friend game peace apply street. Table area save else.,59,3,1439,3764,media,male,phd,van,2,divorced,37,4.6,30,53,south
recursos_humanos,Someone natural country. Smile item computer man see while often. Age much year throw myself economic.,52,19,4742,9519,baja,male,bachelor,sedan,2,single,34,4.1,29,15,west
finanzas,Court everyone which smile dream car issue various. Clearly environment member drive hospital miss only.,52,1,2661,1379,baja,female,bachelor,suv,4,married,38,4.5,18,82,east
recursos_humanos,Give model phone far special third evidence future. Game deep employee action worry among dream government. Front call network notice lawyer quickly responsibility chair.,20,1,1018,3244,baja,female,master,sedan,1,widowed,55,5.0,42,48,east
finanzas,Pretty deal part stock. Trip often somebody attorney. Federal culture site generation after top. Wear name claim.,21,3,2858,857,baja,male,bachelor,van,5,widowed,35,3.5,83,73,south
finanzas,Day game senior idea. Ago born personal challenge. Already owner form probably.,39,6,4183,5459,baja,female,phd,motorcycle,0,married,22,3.4,34,46,east
recursos_humanos,Build open way my. Camera Congress local paper for into for.,21,1,3441,7896,alta,male,high_school,sedan,4,widowed,40,3.7,100,17,north
finanzas,Single certainly whose whatever example. Fall much traditional it never hundred.,36,8,2881,3207,media,male,phd,van,0,widowed,21,3.1,33,20,east
recursos_humanos,Sell who network word gas season interest. Win from thought meeting.,26,1,1021,7528,baja,female,master,sedan,0,widowed,33,4.7,70,82,west
recursos_humanos,While available north in skill along. Story draw my check federal because.,52,10,1284,1518,alta,female,phd,suv,4,married,41,4.6,21,59,west
recursos_humanos,Itself century outside within human. Fund such build deal machine. Mother exist stock.,36,16,3059,3529,media,male,high_school,sedan,1,divorced,54,4.4,73,79,north
recursos_humanos,Social chance area expect debate later. Guy anything man whom check international able. Offer political professional activity interesting myself.,59,18,2937,2614,baja,male,bachelor,sedan,4,divorced,40,4.1,12,95,south
finanzas,Year least talk though. Service source report. The enter build ago weight positive.,35,8,1818,1039,media,male,bachelor,sedan,1,divorced,27,4.5,51,77,north
recursos_humanos,Address decade season boy. Behind those sea this action.,56,9,1483,6386,alta,female,master,sedan,2,divorced,41,3.1,73,19,south
operaciones,Born a play would sign. Store attorney store really like laugh.,25,3,2132,2790,baja,male,high_school,motorcycle,1,widowed,33,3.7,14,97,east
operaciones,Everything class perhaps part. Room cover ever suggest. Girl worker simply.,27,8,1479,6024,media,male,high_school,motorcycle,3,divorced,37,3.8,87,82,north
operaciones,Necessary major day than little special. Board under involve order. Before left education feeling.,44,2,2931,1095,baja,male,phd,sedan,0,married,56,4.5,33,36,east
operaciones,Model to stage mention. Bar so moment job road senior day.,36,15,1758,8382,alta,female,high_school,suv,1,married,48,4.9,46,96,west
recursos_humanos,Cup relate threat charge. Environment wonder under local.,26,6,4798,3919,alta,male,phd,sedan,2,divorced,44,4.5,73,39,south
recursos_humanos,Sister radio war talk husband. Himself black analysis seem music beyond thousand.,60,14,4637,7009,alta,male,bachelor,sedan,3,widowed,29,4.6,27,43,west
operaciones,Test hundred defense again recent traditional cause.,27,6,2242,4879,baja,female,high_school,motorcycle,2,married,27,3.2,73,83,west
operaciones,American politics blue same prepare report. Nation recently wide operation recognize. Authority feeling one cup kind.,45,18,2721,8187,baja,female,bachelor,van,1,widowed,57,4.6,31,87,west
finanzas,Cover final something forward season. Various letter player table section management yeah picture. Section camera responsibility new attention. Language significant media song view president his student.,52,18,3204,8175,media,male,phd,sedan,2,married,39,4.5,89,87,west
finanzas,Resource buy agreement deep bar.,29,5,4047,315,alta,male,high_school,sedan,0,divorced,33,4.8,80,78,east
recursos_humanos,No son side show story still. Data response early that analysis. Me him life safe.,24,6,3365,5725,baja,male,phd,van,4,divorced,22,4.3,32,21,east
recursos_humanos,Western already increase. White mention industry cell mind last.,40,19,2117,1656,media,female,phd,suv,5,divorced,44,4.3,20,32,east
operaciones,Whole yourself speak. Cause sea week stuff spring. Goal mouth sort.,53,10,3597,2695,alta,female,master,motorcycle,3,divorced,27,3.5,17,100,west
operaciones,Interesting sell follow raise. Marriage push relationship address fish at you. Professor ten camera trouble beat.,30,11,4806,9479,media,female,phd,van,1,married,38,4.4,52,45,east
operaciones,Another lead month evening lay strong. Sign defense understand analysis.,57,4,2322,9707,alta,female,bachelor,motorcycle,3,divorced,47,5.0,22,109,north
finanzas,Defense tax consumer his unit. Side course environment main rest.,47,2,4802,8588,media,male,master,motorcycle,3,divorced,55,4.6,92,28,south
recursos_humanos,Itself response any beyond. World heart move.,56,19,1159,2795,alta,male,phd,sedan,4,divorced,58,4.6,24,105,west
finanzas,Someone can ahead cost change. Understand book place weight each.,60,9,2986,7250,alta,male,master,sedan,0,widowed,28,4.0,37,66,south
finanzas,By picture stock statement seat attack. Everything girl to door win lot.,22,4,1820,8620,baja,female,master,sedan,1,divorced,51,3.7,36,82,north
recursos_humanos,Tough first machine statement need peace. Rock citizen send strong test outside.,58,10,2819,1949,media,male,high_school,van,1,widowed,49,3.7,13,55,east
operaciones,Chair attorney establish political. Continue boy experience low over staff. Power various himself use be why.,49,8,4626,2181,alta,male,high_school,suv,2,single,56,4.4,78,119,north
recursos_humanos,Note change final interview theory fight usually prepare. Relate shake positive institution article produce.,21,3,2798,9955,alta,male,high_school,van,3,married,37,3.6,82,82,north
finanzas,State fly specific report capital sort speak. Do any measure lose far. Team reflect this catch conference various.,44,12,3230,5888,alta,female,high_school,suv,2,single,32,5.0,92,116,south
recursos_humanos,Project interesting behind hard fight into arm. Partner clearly rise others reason arrive machine popular.,32,7,3114,1754,baja,female,bachelor,motorcycle,2,divorced,35,4.8,23,71,south
recursos_humanos,How detail movie war series. Try your total south news blood turn.,52,14,4851,3113,baja,female,phd,motorcycle,1,widowed,36,3.6,21,42,west
recursos_humanos,Least best coach. At themselves so enjoy think really. Argue walk month.,28,5,4868,8681,alta,female,phd,suv,3,married,49,3.2,68,100,east
recursos_humanos,Talk board low class. Throw president same enough thank movie. Ask somebody simply born.,42,17,3538,9124,media,female,bachelor,motorcycle,0,single,57,3.1,36,55,north
operaciones,Benefit spring everyone tax season life investment fight. Lot whatever feel myself ball option.,34,12,4780,4624,baja,female,high_school,van,1,widowed,24,3.2,46,27,west
finanzas,Exactly method above yes ten central. Baby prevent dark south including support.,33,4,1531,5423,baja,male,bachelor,motorcycle,4,single,53,4.2,61,101,north
operaciones,Speech skin its money. As grow to assume leader.,53,18,2527,6828,baja,female,master,van,3,single,54,4.3,52,26,east
operaciones,Always travel bed seven nor four. Impact prove present nice foreign president.,23,3,3147,2068,baja,female,bachelor,motorcycle,5,single,41,4.1,90,75,north
recursos_humanos,Really laugh production within. Whom mother sea up. Sit culture another red these.,59,11,2803,4766,baja,male,bachelor,sedan,4,married,58,3.1,75,70,north
operaciones,Rich color PM better technology. Staff free market might. Popular while state her.,20,2,3791,1880,alta,male,phd,motorcycle,4,divorced,21,4.8,55,25,north
recursos_humanos,Since offer whole throughout get. Election anything structure miss artist experience. Wish speech mean computer unit. Drug property instead officer often not.,33,13,4612,2228,alta,female,bachelor,suv,0,divorced,24,4.5,70,93,east
operaciones,Space forget blue service another million. Heavy hospital step structure home it billion account. Drop contain ago lot between land.,22,4,2834,7208,alta,female,phd,suv,1,single,54,3.3,13,23,west
